Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
07.11.2023;07.11.;0.099040287;-2.880808131;2.903247312;5.784055443;NaN;NaN;NaN;0.008202219;-0.023629214;0;0.067040278;-0.004613382;-0.038283847;-0.002801296;-0.020077281
24.11.2023;24.11.;0.0913764;-2.587441866;2.940812109;5.528253975;NaN;NaN;NaN;0;0.004754524;0.024110047;-0.036528402;0;0;0;0
07.12.2023;07.12.;0.255671434;-2.472474408;2.955531409;5.428005817;NaN;NaN;NaN;0;0.035100745;0;0.004667653;0.019132147;0.045786128;0.044646744;0.014961661
18.12.2023;18.12.;0.1202595;-2.656418336;2.685897312;5.342315648;NaN;NaN;NaN;0;0.00319577;-0.134455162;-0.004152591;0;0;0;0
09.01.2024;09.01.;0.11087558;-2.625073193;2.498532946;5.12360614;NaN;NaN;NaN;0;-0.131023083;0;0.014119438;-0.057220249;0.057957142;0.04226407;0.064518868
25.01.2024;25.01.;-0.205532492;-2.370660889;1.896740221;4.26740111;NaN;NaN;NaN;0;-0.040582959;-0.279092976;0.003267892;0;0;0;0
07.02.2024;07.02.;-0.122211294;-2.251605992;1.983084675;4.234690667;NaN;NaN;NaN;-0.010353906;-0.008858836;0;0.056701055;-0.026933749;-0.088137936;0.174962177;-0.014057529
26.02.2024;26.02.;-0.236658442;-2.22656659;1.95940353;4.185970119;NaN;NaN;NaN;0;0.001428506;-0.0812349;-0.04180817;0;0.007167667;0;0
08.03.2024;08.03.;-0.518410905;-2.268539975;1.334730895;3.603270871;NaN;NaN;NaN;0;-0.238688721;0;0.109441802;0.028467701;0.148939798;-0.286877083;-0.062668699
22.03.2024;22.03.;-0.209846572;-1.950099409;1.684296581;3.634395991;NaN;NaN;NaN;0;0.140007128;0.197411485;-0.02885429;0;0;0;0
08.04.2024;08.04.;-0.446429792;-2.050204044;1.304781858;3.354985901;NaN;NaN;NaN;0;0.075408874;0;-0.486465893;0.093637667;0.12898197;-0.025839179;-0.022307603
24.04.2024;24.04.;-0.431732419;-2.062391459;1.217697845;3.280089303;0.213596;0.213599;NaN;0;0.004279384;-0.041853505;0.052271835;0;0;0;0
