"";24.05.2005;23.08.2005;22.11.2005;22.02.2006;23.05.2006;24.08.2006;23.11.2006;22.02.2007;24.05.2007;23.08.2007;22.11.2007;26.02.2008;27.05.2008;26.08.2008;25.11.2008;25.02.2009;26.05.2009;25.08.2009;24.11.2009;24.02.2010;21.05.2010;24.08.2010;23.11.2010;24.02.2011;24.05.2011;01.09.2011;24.11.2011;24.02.2012;24.05.2012;23.08.2012;23.11.2012;22.02.2013;24.05.2013;23.08.2013;22.11.2013;25.02.2014;23.05.2014;01.09.2014;25.11.2014;24.02.2015;22.05.2015;25.08.2015;24.11.2015;23.02.2016;24.05.2016;24.08.2016;24.11.2016;23.02.2017;23.05.2017;25.08.2017;23.11.2017;23.02.2018;24.05.2018;24.08.2018;23.11.2018;22.02.2019;23.05.2019;27.08.2019;22.11.2019;25.02.2020;25.05.2020;25.08.2020;24.11.2020;24.02.2021;25.05.2021;24.08.2021;25.11.2021;25.02.2022;25.05.2022;25.08.2022;25.11.2022;24.02.2023;25.05.2023;25.08.2023;12.10.2023;24.11.2023;23.02.2024;24.05.2024;30.08.2024;22.11.2024;25.02.2025;23.05.2025;22.08.2025;25.11.2025
"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aufzeichnungsmethode;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer
BBK_COMM_SRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts
Basisjahr;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;;2010;2010;2010;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2020;2020;2020;2020;2020;2020
Dezimalstellen;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Dimension;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins
Einheit;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100
FREQ;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q
Kategorie;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1;RTACI1
Originalkennung;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;JBB158;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A;BBNZ1:Q:DE:Y:H:0158:A
1991-Q1;44,65;44,65;44,65;44,65;44,65;44,65;44,65;44,65;44,65;44,59;44,59;44,59;44,59;44,64;44,64;44,64;44,64;44,67;44,67;44,67;44,62;44,62;44,62;44,62;44,63;39,09;39,09;39,09;39,09;39,09;39,09;39,09;39,09;39,09;39,09;39,09;39,09;60,72;60,72;60,72;60,72;56,61;56,61;56,61;56,61;56,61;56,61;56,61;56,61;56,60;56,60;56,60;56,60;56,60;56,60;56,60;56,60;52,81;52,81;52,81;52,81;52,81;52,81;52,81;52,77;52,97;52,99;52,99;52,99;52,97;52,97;52,97;52,97;52,97;52,97;52,97;52,97;52,97;48,18;48,18;48,18;48,18;48,18;48,18
1991-Q2;45,70;45,70;45,70;45,70;45,70;45,70;45,70;45,70;45,70;45,66;45,66;45,66;45,66;45,71;45,71;45,71;45,71;45,82;45,82;45,82;45,77;45,77;45,77;45,77;45,74;40,26;40,26;40,26;40,26;40,26;40,26;40,26;40,26;40,26;40,26;40,26;40,26;60,86;60,86;60,86;60,86;56,45;56,45;56,45;56,45;56,45;56,45;56,45;56,45;56,47;56,47;56,47;56,47;56,47;56,47;56,47;56,47;52,70;52,70;52,70;52,70;52,67;52,67;52,67;52,69;52,65;52,67;52,67;52,67;52,67;52,67;52,67;52,67;52,67;52,67;52,67;52,67;52,67;48,52;48,52;48,52;48,52;48,52;48,52
1991-Q3;47,67;47,67;47,67;47,67;47,67;47,67;47,67;47,67;47,67;47,81;47,81;47,81;47,81;47,66;47,66;47,66;47,66;47,62;47,62;47,62;47,77;47,77;47,77;47,77;47,78;41,63;41,63;41,63;41,63;41,63;41,63;41,63;41,63;41,63;41,63;41,63;41,63;62,46;62,46;62,46;62,46;58,12;58,12;58,12;58,12;58,12;58,12;58,12;58,12;58,11;58,11;58,11;58,11;58,11;58,11;58,11;58,11;54,00;54,00;54,00;54,00;54,06;54,06;54,06;54,25;53,90;53,86;53,86;53,86;53,90;53,90;53,90;53,90;53,89;53,89;53,89;53,89;53,89;48,84;48,84;48,84;48,84;48,84;48,84
1991-Q4;47,38;47,38;47,38;47,38;47,38;47,38;47,38;47,38;47,38;47,34;47,34;47,34;47,34;47,39;47,39;47,39;47,39;47,29;47,29;47,29;47,23;47,23;47,23;47,23;47,24;41,59;41,59;41,59;41,59;41,59;41,59;41,59;41,59;41,59;41,59;41,59;41,59;63,43;63,43;63,43;63,43;59,30;59,30;59,30;59,30;59,30;59,30;59,30;59,30;59,29;59,29;59,29;59,29;59,29;59,29;59,29;59,29;55,96;55,96;55,96;55,96;56,02;56,02;56,02;55,85;56,04;56,05;56,05;56,05;56,03;56,03;56,03;56,03;56,03;56,03;56,03;56,03;56,03;48,85;48,85;48,85;48,85;48,85;48,85
1992-Q1;50,21;50,21;50,21;50,21;50,21;50,21;50,21;50,21;50,21;50,13;50,13;50,13;50,13;50,18;50,18;50,18;50,18;50,21;50,21;50,21;50,17;50,17;50,17;50,17;50,18;43,43;43,43;43,43;43,43;43,43;43,43;43,43;43,43;43,43;43,43;43,43;43,43;62,26;62,26;62,26;62,26;58,59;58,59;58,59;58,59;58,59;58,59;58,59;58,59;58,58;58,58;58,58;58,58;58,58;58,58;58,58;58,58;56,56;56,56;56,56;56,56;56,55;56,55;56,55;56,50;56,73;56,75;56,75;56,75;56,73;56,73;56,73;56,73;56,73;56,73;56,73;56,73;56,73;49,33;49,33;49,33;49,33;49,33;49,33
