"";12.05.2005;11.08.2005;15.11.2005;14.02.2006;11.05.2006;14.08.2006;14.11.2006;13.02.2007;15.05.2007;14.08.2007;14.11.2007;14.02.2008;15.05.2008;14.08.2008;13.11.2008;13.02.2009;15.05.2009;13.08.2009;13.11.2009;12.02.2010;12.05.2010;13.08.2010;12.11.2010;15.02.2011;13.05.2011;16.08.2011;15.11.2011;15.02.2012;15.05.2012;14.08.2012;15.11.2012;14.02.2013;15.05.2013;14.08.2013;14.11.2013;14.02.2014;15.05.2014;14.08.2014;14.11.2014;13.02.2015;13.05.2015;14.08.2015;13.11.2015;12.02.2016;13.05.2016;12.08.2016;15.11.2016;14.02.2017;12.05.2017;15.08.2017;14.11.2017;14.02.2018;15.05.2018;14.08.2018;14.11.2018;14.02.2019;15.05.2019;14.08.2019;14.11.2019;14.02.2020;15.05.2020;30.07.2020;25.08.2020;30.10.2020;24.11.2020;29.01.2021;24.02.2021;30.04.2021;25.05.2021;30.07.2021;24.08.2021;29.10.2021;25.11.2021;28.01.2022;25.02.2022;29.04.2022;25.05.2022;29.07.2022;25.08.2022;28.10.2022;25.11.2022;30.01.2023;24.02.2023;28.04.2023;25.05.2023;28.07.2023;25.08.2023;12.10.2023;30.10.2023;24.11.2023;30.01.2024;23.02.2024;30.04.2024;24.05.2024;30.07.2024;30.08.2024;30.10.2024;22.11.2024;30.01.2025;25.02.2025;30.04.2025;23.05.2025;30.07.2025;22.08.2025
"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aufzeichnungsmethode;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer;Computer
BBK_COMM_SRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts
Basisjahr;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020
Dezimalstellen;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Dimension;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins;Eins
Einheit;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2000=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2005=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2010=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2015=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100
FREQ;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q;Q
Kategorie;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1;RTAAG1
Originalkennung;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;JBB000;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A;BBNZ1:Q:DE:Y:H:0000:A
